iter	Logloss
0	0.6769063121
1	0.6522254915
2	0.6412278885
3	0.6236015686
4	0.6124693123
5	0.5982812645
6	0.5846907205
7	0.5687026509
8	0.5606717013
9	0.537019416
10	0.5269287017
11	0.5149275704
12	0.492739231
13	0.4809701339
14	0.4660333333
15	0.4612983518
16	0.4502617246
17	0.4396805296
18	0.4323841815
19	0.4229202143
20	0.4162212437
21	0.4097531227
22	0.4043371324
23	0.3974911955
24	0.3924126739
25	0.3854610193
26	0.375249576
27	0.3684690206
28	0.3603251155
29	0.3531828396
30	0.3496027936
31	0.3480458972
32	0.3408377134
33	0.335858231
34	0.3318616313
35	0.3272985518
36	0.3243355286
37	0.3183941957
38	0.3142633198
39	0.3100684995
40	0.3048239685
41	0.3013501297
42	0.2972520865
43	0.2946502195
44	0.2910375017
45	0.287791523
46	0.2846555414
47	0.2821648718
48	0.2779827932
49	0.2747455915
50	0.2722824876
51	0.2695098809
52	0.2664146779
53	0.2639427401
54	0.2593289857
55	0.2542082964
56	0.2510880824
57	0.2484668317
58	0.245525513
59	0.240978532
60	0.2354279565
61	0.2330592013
62	0.228341483
63	0.2258089139
64	0.2239914803
65	0.2219987509
66	0.2190233712
67	0.2175239837
68	0.2150462257
69	0.2129111418
70	0.209483649
71	0.2075200194
72	0.2053287423
73	0.2024258411
74	0.1992614422
75	0.1984798453
76	0.1971139165
77	0.1943516597
78	0.1925611312
79	0.1890879855
80	0.1865866659
81	0.1807920889
82	0.1776292558
83	0.1750689492
84	0.1735268134
85	0.1717936597
86	0.1698280968
87	0.16849541
88	0.1666471353
89	0.1637883307
90	0.1619530865
91	0.159954165
92	0.1566415674
93	0.1547232104
94	0.1532828207
95	0.1519738193
96	0.1512193122
97	0.1503909989
98	0.1493373504
99	0.1483637085
100	0.1465362461
101	0.1455191095
102	0.14385835
103	0.1431687153
104	0.1416649356
105	0.1395438708
106	0.1377426083
107	0.1360542189
108	0.1349536079
109	0.1336922598
110	0.1321683402
111	0.1303839786
112	0.1295938944
113	0.1285227516
114	0.12762684
115	0.1258275132
116	0.1244008573
117	0.1226069677
118	0.1208250315
119	0.1194978897
120	0.1185374826
121	0.116274824
122	0.1152396359
123	0.11432295
124	0.1135504151
125	0.1122913147
126	0.1114057334
127	0.1101176637
128	0.1094843391
129	0.1084182219
130	0.1071812745
131	0.106006484
132	0.1054433664
133	0.1045838451
134	0.1039570056
135	0.1026832732
136	0.1017525429
137	0.1008436141
138	0.1001686698
139	0.09951214335
140	0.09837358518
141	0.09664117844
142	0.09547921882
143	0.09450771496
144	0.09322174429
145	0.09234237327
146	0.09189072176
147	0.09132600416
148	0.09057855898
149	0.08993148191
150	0.08927379471
151	0.08876705439
152	0.08805091731
153	0.0875652283
154	0.08697134294
155	0.08565737315
156	0.08507312577
157	0.08371852059
158	0.0830648095
159	0.08176578085
160	0.08094680143
161	0.08046598943
162	0.07997971421
163	0.07933212741
164	0.07870441726
165	0.07798516366
166	0.07742353249
167	0.07685790477
168	0.07634766484
169	0.07580438782
170	0.07496397242
171	0.07447728777
172	0.07382248941
173	0.07354837503
174	0.07334744132
175	0.07287204146
176	0.07219369154
177	0.07185419321
178	0.07097686314
179	0.06979370601
180	0.06896812822
181	0.06842887251
182	0.06761641923
183	0.06720252314
184	0.06672200992
185	0.0661845201
186	0.0656806428
187	0.06471558203
188	0.06381511085
189	0.06336386544
190	0.06300509338
191	0.06237558078
192	0.06200061182
193	0.06123792635
194	0.06093090107
195	0.06021271647
196	0.05986342512
197	0.05942314915
198	0.05903786359
199	0.0587895392
200	0.05849101193
201	0.05818321238
202	0.05782374803
203	0.05745176887
204	0.05672261228
205	0.05601620767
206	0.05567376424
207	0.0551851102
208	0.05477348931
209	0.0542426895
210	0.05381404811
211	0.0535443197
212	0.05304938168
213	0.05250819249
214	0.05212947937
215	0.05158260246
216	0.05132095973
217	0.0509260223
218	0.05042906137
219	0.04997427159
220	0.04934592877
221	0.04922386727
222	0.0490307169
223	0.04877039627
224	0.04815468455
225	0.04779933733
226	0.0473684064
227	0.04704055598
228	0.04656691034
229	0.04610586596
230	0.04552495041
231	0.04513877481
232	0.04501581896
233	0.0447964805
234	0.04454197193
235	0.0442444668
236	0.04387903063
237	0.04341320257
238	0.04285417527
239	0.04237482643
240	0.04214347854
241	0.04173520365
242	0.04146927912
243	0.0411509672
244	0.04079467434
245	0.04068335359
246	0.04058191731
247	0.03999438988
248	0.03957172781
249	0.03935014253
250	0.03896034212
251	0.03872628152
252	0.03823479924
253	0.03816229559
254	0.03798464522
255	0.03769988005
256	0.03739918795
257	0.03720740614
258	0.03699761505
259	0.03649826084
260	0.03631083783
261	0.03613609461
262	0.03592248041
263	0.03579939898
264	0.03560771936
265	0.03548446736
266	0.03523650258
267	0.03490126515
268	0.03478171662
269	0.03452377549
270	0.03418257718
271	0.03403047538
272	0.03381861847
273	0.03370635687
274	0.0335605938
275	0.0331549497
276	0.0328976266
277	0.03271499793
278	0.03248191199
279	0.03228409616
280	0.03205475185
281	0.03187135589
282	0.03173118106
283	0.03155008398
284	0.0313079116
285	0.03115099315
286	0.03097142578
287	0.03072915717
288	0.03057644642
289	0.03052499423
290	0.03007459941
291	0.02995409066
292	0.02968480508
293	0.02932729397
294	0.0290361646
295	0.02878272893
296	0.02865385098
297	0.02848165352
298	0.02833593401
299	0.02823039927
